LINE_NO,LATITUDE,LONGITUDE,DATETIME,ELEVATION,Collar_ID,TEMP
378,38.9854501,-104.8842153,40633.00,2089.27,2925,11
379,38.9856553,-104.884453,40633.25,2088.14,2925,10
380,38.9901643,-104.8807003,40633.50,2089.39,2925,24
383,38.9878375,-104.8849822,40634.25,2092.31,2925,5
385,38.9852689,-104.8807323,40634.75,2126.85,2925,13
387,38.9814531,-104.8816803,40635.25,2127.47,2925,10
388,38.9801704,-104.8877736,40635.50,2130.23,2925,26
389,38.9839306,-104.8855016,40635.75,2129.27,2925,20
390,38.9850702,-104.8803631,40636.00,2128.67,2925,17
391,38.9857887,-104.8831429,40636.25,2123.87,2925,12
393,38.9918293,-104.8718725,40636.75,2070.78,2925,0
394,38.9946435,-104.8726888,40637.00,2096.36,2925,-2
395,38.99446,-104.8731283,40637.25,2100.87,2925,-3
396,38.9865041,-104.8759472,40637.50,2106.78,2925,15
397,38.9772414,-104.8666847,40637.75,2106.15,2925,9
398,38.9770937,-104.8671114,40638.00,2104.18,2925,6
399,38.9812636,-104.8626655,40638.25,2085.12,2925,8
402,38.9793969,-104.8683413,40639.00,2085.36,2925,13
403,38.9836788,-104.8643896,40639.25,2084.34,2925,7
404,38.9810506,-104.8584126,40639.50,2082.56,2925,17
405,38.9780272,-104.8539657,40639.75,2074.62,2925,12
406,38.9790472,-104.8583081,40640.00,2061.81,2925,4
407,38.9777849,-104.8631177,40640.25,2084.03,2925,6
409,38.9770791,-104.8644389,40640.75,2082.33,2925,14
410,38.977297,-104.8668889,40641.00,2090.57,2925,11
411,38.9792717,-104.8727372,40641.25,2097.78,2925,9
413,38.9847512,-104.8674596,40641.75,2094.56,2925,17
414,38.985227,-104.8726639,40642.00,2102.4,2925,12
415,38.9870816,-104.8766497,40642.25,2094.3,2925,6
417,38.9810625,-104.8826926,40642.75,2098.41,2925,14
418,38.9840381,-104.8816659,40643.00,2130.42,2925,8
420,38.9892283,-104.8829145,40643.50,2108.13,2925,16
421,38.9912568,-104.873591,40643.75,2104.81,2925,8
422,38.9955932,-104.8823848,40644.00,2136.14,2925,0
423,38.994804,-104.883722,40644.25,2155.4,2925,2
425,38.9843483,-104.8780733,40644.75,2153.02,2925,14
426,38.9857108,-104.8731865,40645.00,2152.04,2925,6
427,38.9867535,-104.8764946,40645.25,2094.82,2925,7
429,38.9893528,-104.888665,40645.75,2126.02,2925,14
430,38.991399,-104.8894719,40646.00,2156.82,2925,9
431,38.9890374,-104.8889881,40646.25,2172.47,2925,4
433,38.994766,-104.8809206,40646.75,2170.15,2925,10
434,38.9946045,-104.8749792,40647.00,2128.73,2925,5
435,38.9945668,-104.8761239,40647.25,2125.96,2925,5
436,38.9917883,-104.8792201,40647.50,2105,2925,11
437,38.9945022,-104.8720407,40647.75,2095.08,2925,9
438,38.9943066,-104.8725924,40648.00,2096.49,2925,1
441,38.9949638,-104.8725807,40648.75,2095.34,2925,11
442,38.983197,-104.8845552,40649.00,2129.79,2925,4
443,38.9879826,-104.8859881,40649.25,2139.16,2925,7
445,38.9905956,-104.8855434,40649.75,2139.89,2925,15
446,38.9904914,-104.8899394,40650.00,2179.62,2925,6
447,38.9913416,-104.885813,40650.25,2179,2925,7
449,38.994587,-104.8832977,40650.75,2148.61,2925,20
450,38.9950103,-104.8815989,40651.00,2142.99,2925,9
451,38.9908237,-104.8858273,40651.25,2151.5,2925,10
453,38.9845009,-104.8849913,40651.75,2124.13,2925,18
454,38.9904943,-104.8805515,40652.00,2101.33,2925,5
455,38.9874123,-104.8821947,40652.25,2096.61,2925,7
456,38.9838817,-104.8790995,40652.50,2096.23,2925,17
457,38.9917755,-104.8796066,40652.75,2101.99,2925,13
458,38.9844799,-104.8783277,40653.00,2103.17,2925,9
459,38.986187,-104.8822766,40653.25,2107.37,2925,7
460,38.9850741,-104.8837751,40653.50,2124.96,2925,10
461,38.9837634,-104.8788375,40653.75,2120.43,2925,9
462,38.9851689,-104.8806037,40654.00,2116.72,2925,4
463,38.9906571,-104.8847802,40654.25,2160.06,2925,4
465,38.9851767,-104.8860086,40654.75,2153.79,2925,18
466,38.9879754,-104.8867418,40655.00,2152.87,2925,10
467,38.9866468,-104.8911388,40655.25,2157.14,2925,6
469,38.994229,-104.8874025,40655.75,2167.52,2925,14
470,38.9868564,-104.8825008,40656.00,2123.61,2925,10
471,38.9905364,-104.882444,40656.25,2122.58,2925,5
472,38.9839467,-104.8775353,40656.50,2122.29,2925,10
473,38.9840175,-104.878896,40656.75,2123.7,2925,6
474,38.9842527,-104.8788401,40657.00,2123.22,2925,4
475,38.9798705,-104.8739088,40657.25,2115.74,2925,3
476,38.9774057,-104.8595723,40657.50,2115.4,2925,8
477,38.9811841,-104.8643289,40657.75,2091.26,2925,6
478,38.9853945,-104.8659383,40658.00,2079.41,2925,9
479,38.9936349,-104.874075,40658.25,2085.33,2925,4
481,38.9839791,-104.8793656,40658.75,2103.54,2925,10
482,38.9910366,-104.8894711,40659.00,2109.58,2925,5
483,38.9896719,-104.8902218,40659.25,2107.67,2925,4
486,38.9916234,-104.8778549,40660.00,2106.97,2925,3
487,38.9873072,-104.8822729,40660.25,2109.45,2925,2
488,38.9871126,-104.8799594,40660.50,2105.94,2925,8
489,38.9861621,-104.8882714,40660.75,2104.43,2925,10
